ID,Child Gender,Child Age Group,Child Birthday,Child Age In Years,Child Race,Surprise-Important,Surprise-Interesting,Surprise-Difficulty,Surprise-Motivation,Awe-Important,Awe-Interesting,Awe-Difficulty,Awe-Motivation,Enjoyment-Important,Enjoyment-Interesting,Enjoyment-Difficulty,Enjoyment-Motivation,Neutral-Important,Neutral-Interesting,Neutral-Difficulty,Neutral-Motivation,Fear-Important,Fear-Interesting,Fear-Difficulty,Fear-Motivation,Sadness-Important,Sadness-Interesting,Sadness-Difficulty,Sadness-Motivation
1015,Male,7,12/05/2015,7.97,White,5. a little important,4. a tiny bit interesting,5. a little difficult,5. a little want to learn,4. a tiny bit important,6. really interesting,3. a tiny bit easy,5. a little want to learn,5. a little important,5. a little interesting,3. a tiny bit easy,3. a tiny bit not want to learn,6. really important,6. really interesting,6. really difficult,6. a lot want to learn,6. really important,5. a little interesting,3. a tiny bit easy,4. a tiny bit want to learn,4. a tiny bit important,1. really not interesting,3. a tiny bit easy,3. a tiny bit not want to learn
1016,Female,7,03/19/2016,7.69,Black or African American,5. a little important,6. really interesting,6. really difficult,5. a little want to learn,6. really important,6. really interesting,5. a little difficult,6. a lot want to learn,5. a little important,6. really interesting,2. a little easy,6. a lot want to learn,6. really important,5. a little interesting,5. a little difficult,5. a little want to learn,1. really not important,3. a tiny bit not interesting,2. a little easy,1. a lot not want to learn,1. really not important,1. really not interesting,1. really easy,2. a little not want to learn
1017,Female,8,11/03/2015,8.06,White,5. a little important,6. really interesting,6. really difficult,6. a lot want to learn,6. really important,6. really interesting,5. a little difficult,6. a lot want to learn,5. a little important,5. a little interesting,2. a little easy,2. a little not want to learn,2. a little not important,1. really not interesting,1. really easy,1. a lot not want to learn,1. really not important,2. a little not interesting,5. a little difficult,2. a little not want to learn,3. a tiny bit not important,2. a little not interesting,4. a tiny bit difficult,1. a lot not want to learn
1018,Female,5,11/03/2018,5.06,Asian,1. really not important,1. really not interesting,1. really easy,6. a lot want to learn,5. a little important,3. a tiny bit not interesting,1. really easy,6. a lot want to learn,1. really not important,3. a tiny bit not interesting,4. a tiny bit difficult,6. a lot want to learn,4. a tiny bit important,3. a tiny bit not interesting,3. a tiny bit easy,6. a lot want to learn,5. a little important,5. a little interesting,3. a tiny bit easy,6. a lot want to learn,6. really important,5. a little interesting,4. a tiny bit difficult,6. a lot want to learn
1019,Female,7,05/31/2016,7.49,Asian,4. a tiny bit important,4. a tiny bit interesting,3. a tiny bit easy,4. a tiny bit want to learn,5. a little important,5. a little interesting,3. a tiny bit easy,5. a little want to learn,3. a tiny bit not important,6. really interesting,1. really easy,6. a lot want to learn,5. a little important,3. a tiny bit not interesting,4. a tiny bit difficult,4. a tiny bit want to learn,6. really important,1. really not interesting,6. really difficult,5. a little want to learn,5. a little important,2. a little not interesting,4. a tiny bit difficult,4. a tiny bit want to learn
1020,Female,6,01/09/2018,6.03,White,3. a tiny bit not important,6. really interesting,6. really difficult,1. a lot not want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,3. a tiny bit not important,1. really not interesting,6. really difficult,1. a lot not want to learn,1. really not important,6. really interesting,6. really difficult,6. a lot want to learn,2. a little not important,3. a tiny bit not interesting,4. a tiny bit difficult,1. a lot not want to learn
1021,Male,8,11/17/2015,8.18,Hispanic,1. really not important,4. a tiny bit interesting,6. really difficult,2. a little not want to learn,4. a tiny bit important,3. a tiny bit not interesting,2. a little easy,5. a little want to learn,5. a little important,6. really interesting,1. really easy,6. a lot want to learn,1. really not important,1. really not interesting,6. really difficult,1. a lot not want to learn,6. really important,5. a little interesting,1. really easy,1. a lot not want to learn,6. really important,6. really interesting,1. really easy,1. a lot not want to learn
1022,Male,9,05/17/2014,9.68,White,5. a little important,5. a little interesting,3. a tiny bit easy,5. a little want to learn,6. really important,6. really interesting,3. a tiny bit easy,5. a little want to learn,5. a little important,5. a little interesting,1. really easy,5. a little want to learn,5. a little important,3. a tiny bit not interesting,3. a tiny bit easy,4. a tiny bit want to learn,1. really not important,1. really not interesting,6. really difficult,1. a lot not want to learn,5. a little important,2. a little not interesting,5. a little difficult,4. a tiny bit want to learn
1023,Male,8,12/12/2015,8.11,Hispanic,5. a little important,6. really interesting,3. a tiny bit easy,4. a tiny bit want to learn,3. a tiny bit not important,6. really interesting,4. a tiny bit difficult,5. a little want to learn,4. a tiny bit important,6. really interesting,3. a tiny bit easy,6. a lot want to learn,6. really important,5. a little interesting,6. really difficult,6. a lot want to learn,4. a tiny bit important,2. a little not interesting,5. a little difficult,5. a little want to learn,5. a little important,1. really not interesting,4. a tiny bit difficult,1. a lot not want to learn
1024,Male,5,12/18/2018,5.1,White,5. a little important,5. a little interesting,4. a tiny bit difficult,6. a lot want to learn,5. a little important,6. really interesting,4. a tiny bit difficult,6. a lot want to learn,3. a tiny bit not important,6. really interesting,3. a tiny bit easy,4. a tiny bit want to learn,2. a little not important,2. a little not interesting,5. a little difficult,2. a little not want to learn,6. really important,6. really interesting,6. really difficult,2. a little not want to learn,6. really important,6. really interesting,6. really difficult,2. a little not want to learn
1025,Female,8,06/08/2015,8.63,White,2. a little not important,5. a little interesting,5. a little difficult,5. a little want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,6. really important,6. really interesting,1. really easy,6. a lot want to learn,5. a little important,1. really not interesting,5. a little difficult,1. a lot not want to learn,1. really not important,4. a tiny bit interesting,4. a tiny bit difficult,3. a tiny bit not want to learn,3. a tiny bit not important,2. a little not interesting,5. a little difficult,2. a little not want to learn
